tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
145,2019-09-01 00:00:37.6920,2019-09-01 00:03:03.0100,3640,Journal Square,40.73367,-74.0625,3206,Hilltop,40.7311689,-74.0575736,29303,Subscriber,1991,1
212,2019-09-01 00:03:00.6000,2019-09-01 00:06:33.3420,3194,McGinley Square,40.7253399253558,-74.0676221251488,3679,Bergen Ave,40.722103786686,-74.0714550018311,29297,Subscriber,1993,2
569,2019-09-01 00:07:13.0020,2019-09-01 00:16:42.8610,3214,Essex Light Rail,40.7127742,-74.0364857,3184,Paulus Hook,40.7141454,-74.0335519,29435,Customer,1977,1
1380,2019-09-01 00:07:25.3350,2019-09-01 00:30:26.1640,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29509,Subscriber,1965,1
1346,2019-09-01 00:07:56.4670,2019-09-01 00:30:22.5440,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29226,Subscriber,1968,2
748,2019-09-01 00:08:10.2980,2019-09-01 00:20:38.6300,3185,City Hall,40.7177325,-74.043845,3280,Astor Place,40.719282200707,-74.071261882782,26188,Subscriber,1981,1
137,2019-09-01 00:08:40.1730,2019-09-01 00:10:57.8280,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,29643,Customer,1969,2
631,2019-09-01 00:17:40.9420,2019-09-01 00:28:12.6340,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,29475,Customer,1969,0
1796,2019-09-01 00:18:46.2400,2019-09-01 00:48:42.8730,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,29550,Subscriber,1992,1
1760,2019-09-01 00:19:24.6770,2019-09-01 00:48:44.9460,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,26158,Subscriber,1991,1
1149,2019-09-01 00:29:29.3060,2019-09-01 00:48:39.2530,3640,Journal Square,40.73367,-74.0625,3191,Union St,40.7182113,-74.0836394,29530,Subscriber,1979,1
417,2019-09-01 00:30:54.7890,2019-09-01 00:37:51.8960,3276,Marin Light Rail,40.7145840353589,-74.042817056179,3211,Newark Ave,40.72152515,-74.046304543,26316,Customer,1991,0
422,2019-09-01 00:30:58.8170,2019-09-01 00:38:00.9920,3276,Marin Light Rail,40.7145840353589,-74.042817056179,3211,Newark Ave,40.72152515,-74.046304543,29677,Customer,1990,2
